YEAR,State,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
1907,Lakshadweep,60.6,49.3,0,123.5,77,241.1,199.5,165.6,25.8,176.3,292.7,47.4,1458.8,109.9,200.5,632,516.4
1908,Lakshadweep,18,9.2,5.6,162,150.9,471.7,184.9,73.9,437,251.2,98,96.7,1959.1,27.2,318.5,1167.5,445.9
1909,Lakshadweep,70.4,0,34.2,92.4,48.4,204,122.4,368.8,105.1,340.5,45,32.3,1463.5,70.4,175,800.3,417.8
1910,Lakshadweep,2.3,0,32.8,34.3,201.1,340.4,155.2,292.4,301.8,317.1,171.8,0,1849.2,2.3,268.2,1089.8,488.9
1911,Lakshadweep,22.4,0,0,0,104.2,425.3,245.5,60.3,67.9,316.1,276,170,1687.7,22.4,104.2,799,762.1
1912,Lakshadweep,11.4,54.6,8.1,118.6,165.1,417.8,171.7,152.2,68.9,267.8,126.2,92.5,1654.9,66,291.8,810.6,486.5
1913,Lakshadweep,77,1.8,50.3,53.4,244,251.8,215.5,235.5,38.6,154.3,111.4,84.9,1518.5,78.8,347.7,741.4,350.6
1914,Lakshadweep,10.4,0,53.3,10.2,120.7,377.1,347.5,220.4,26.5,437,172,258.9,2034,10.4,184.2,971.5,867.9
1915,Lakshadweep,0,0,22.9,50.5,143.3,183.4,461.6,76,222.1,151.6,155.8,78.3,1545.5,0,216.7,943.1,385.7
1916,Lakshadweep,0.3,13.2,32,28.7,130.5,327.6,445.9,31.8,275.4,85.2,17.5,10.4,1398.5,13.5,191.2,1080.7,113.1
1917,Lakshadweep,0,68.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1919,Lakshadweep,74.4,1.3,39.4,25.6,249.8,352.1,367.4,175.6,196.9,181,150.2,112.8,1926.5,75.7,314.8,1092,444
1920,Lakshadweep,82.6,0,35.6,49.4,203.1,530,134.2,116.9,247.6,258.8,359.6,33.1,0,0,288.1,1028.7,651.5
1921,Lakshadweep,37.6,0,16.8,82.4,156.3,326.2,163.7,235.5,0,170.3,110.3,93,0,37.6,255.5,0,373.6
1922,Lakshadweep,17.8,56.7,0,214.1,112.8,232.9,258,190.4,425.2,152.7,210,57.9,1928.5,74.5,326.9,1106.5,420.6
1923,Lakshadweep,43.7,1.6,25,0,13.5,372.8,314.6,198.9,189.3,149.7,65.2,197.9,1572.2,45.3,38.5,1075.6,412.8
1924,Lakshadweep,23.8,1,4.7,57.6,224.9,567.3,339.2,396.4,236.8,96.5,15.2,8.6,1972,24.8,287.2,1539.7,120.3
1925,Lakshadweep,2.3,7.5,15.5,32.6,244.2,327.5,192.3,295.3,63.5,109.3,144.9,242,1676.9,9.8,292.3,878.6,496.2
1926,Lakshadweep,262.8,16,33.6,60.2,335.8,392,303.9,118.2,97.2,83.4,119.3,13.8,1836.2,278.8,429.6,911.3,216.5
1927,Lakshadweep,108.2,14.7,40.7,40.4,229,181.2,0,42,256,0,0,0,0,122.9,310.1,0,0
1928,Lakshadweep,42.5,66.6,0,1.4,212.3,206.9,268.8,174.9,53.8,124.1,116.3,139.3,0,109.1,0,704.4,379.7
1929,Lakshadweep,6.1,66.6,49.5,91,248,259.3,452.7,34.2,186.3,100.2,0,28.8,0,72.7,388.5,932.5,0
1930,Lakshadweep,14,24.6,14.2,0,110.6,277.5,115.5,186.4,193,170.6,79.6,72.4,1258.4,38.6,124.8,772.4,322.6
1931,Lakshadweep,0,0,0,28.5,194.6,262,290.4,347.9,167.1,102,118.3,96.1,0,0,223.1,1067.4,316.4
1932,Lakshadweep,0,0.2,4.8,0.4,372.6,239.4,435,286.7,63.5,256.3,178.1,56.7,1893.7,0.2,377.8,1024.6,491.1
1933,Lakshadweep,6.1,34.5,16.5,44.5,660.8,200.3,366,334.8,390,157.9,85.1,17.6,2314.1,40.6,721.8,1291.1,260.6
1934,Lakshadweep,122.3,5.7,5.1,30.8,37.4,305.1,197.1,71.4,76.3,161.5,74.9,0.3,1087.9,128,73.3,649.9,236.7
1935,Lakshadweep,9.2,7.7,0,41.1,15.8,351.8,309.1,277.5,136.4,142.8,145.4,92.4,1529.2,16.9,56.9,1074.8,380.6
1936,Lakshadweep,0.5,1,41.1,18.8,354.8,464.2,177.1,161.1,219.1,70.1,177.1,59.2,1744.1,1.5,414.7,1021.5,306.4
1937,Lakshadweep,8.3,2.5,1.5,15.8,79.7,371.8,391,80,101.3,167.9,191,32.8,1443.6,10.8,97,944.1,391.7
1938,Lakshadweep,6.8,6.3,8,74,113.8,145.4,230.3,385.8,132.8,113.3,210.8,120.3,1547.6,13.1,195.8,894.3,444.4
1939,Lakshadweep,9,0.5,0,2.5,20.3,412.7,220.1,248,47,114.6,126.8,5.8,1207.3,9.5,22.8,927.8,247.2
1940,Lakshadweep,14.8,0.4,0,19.2,61.4,292.5,267.2,242,36.4,237.7,194.3,40.8,1406.7,15.2,80.6,838.1,472.8
1941,Lakshadweep,44.4,16.5,2.7,1,227.6,213.3,142,182.4,138.5,78.1,72.9,44,1163.4,60.9,231.3,676.2,195
1942,Lakshadweep,40,3.8,15.1,69.1,154.1,539.7,346.6,207.3,90.1,120.5,39.2,160.7,1786.2,43.8,238.3,1183.7,320.4
1943,Lakshadweep,112.6,57.4,0,0,146,422.3,346,203.1,154.8,309.3,142.8,55.5,0,170,0,1126.2,507.6
1944,Lakshadweep,25.4,67.9,5.8,16.6,174.5,261.4,247.3,99.1,272.6,175.9,234.9,86.7,1668.1,93.3,196.9,880.4,497.5
1945,Lakshadweep,16.8,1.3,0,0.9,54.2,362,341,148.8,42.8,132.8,155.1,65.6,1321.3,18.1,55.1,894.6,353.5
1946,Lakshadweep,15.7,1.5,9.5,32,0,0,0,0,0,0,0,0,0,17.2,0,0,0
1947,Lakshadweep,20.1,9.1,24.3,140.2,87.9,364.8,303.6,504.6,168.8,74.2,28.4,29.9,1755.9,29.2,252.4,1341.8,132.5
1948,Lakshadweep,70,5.7,0.2,17.2,121,278.5,159,124.8,39.5,356.7,118.5,34.2,1325.3,75.7,138.4,601.8,509.4
1949,Lakshadweep,2.2,1,0,2.4,372.5,380.5,476.7,242.5,188.5,80.1,0,8.8,0,3.2,374.9,1288.2,0
1950,Lakshadweep,8.5,38.7,25.1,69.9,158.6,203.1,405,266.5,135.3,52.7,31,99.7,1494.1,47.2,253.6,1009.9,183.4
1951,Lakshadweep,24.3,28.9,35.3,129.9,108.4,445.1,524.2,43.7,156,68.6,103.6,47.3,1715.3,53.2,273.6,1169,219.5
1952,Lakshadweep,21.3,11.2,0.8,11.6,152.4,343.5,157.9,79.6,38.3,273,12.2,22.7,1124.5,32.5,164.8,619.3,307.9
1953,Lakshadweep,10.4,40.8,9.3,35,15.3,205.8,537,69.4,125.5,452.4,95.6,9.7,1606.2,51.2,59.6,937.7,557.7
1954,Lakshadweep,74.1,0,14.6,39.8,122.3,375.2,259.5,232.9,123.5,256.2,34.1,23.3,1555.5,74.1,176.7,991.1,313.6
1955,Lakshadweep,11.4,39.1,0,105.4,235.2,345.5,215.4,63.2,302.5,155.9,61.2,13.5,1548.3,50.5,340.6,926.6,230.6
1956,Lakshadweep,13.6,27.7,1.3,40.8,269.5,356.1,109.8,91.6,148,175.6,48.5,4.9,1287.4,41.3,311.6,705.5,229
1957,Lakshadweep,0.9,11.4,34.6,23.7,195.6,309.9,129.1,149.6,47.5,215.2,198.5,31.2,1347.2,12.3,253.9,636.1,444.9
1958,Lakshadweep,0.2,1.6,0,8,116,269.4,84.5,238.2,54,133.4,51.1,36.2,992.6,1.8,124,646.1,220.7
1959,Lakshadweep,15,0,8,51.6,320.5,337.7,205.8,151.2,183.2,183.8,97.8,29,1583.6,15,380.1,877.9,310.6
1960,Lakshadweep,29.6,40,3.3,85.4,497.1,176.8,257.3,168.4,221.3,169.7,235.9,17,1901.8,69.6,585.8,823.8,422.6
1961,Lakshadweep,60.3,47.4,0,31.3,421.1,593.2,297.3,228.2,215.8,148.1,98.8,93.8,2235.3,107.7,452.4,1334.5,340.7
1962,Lakshadweep,11.1,0,0,81.5,331.2,149.3,204.5,286.7,201.8,210.9,33.5,76.1,1586.6,11.1,412.7,842.3,320.5
1963,Lakshadweep,126.7,112.9,6.5,72.6,204.6,233,367,249.9,121.8,113.5,211.5,82.1,1902.1,239.6,283.7,971.7,407.1
1964,Lakshadweep,2.5,3.5,5.2,40.4,64.2,376.1,407,174.6,342.5,120.9,90.8,24,1651.7,6,109.8,1300.2,235.7
1965,Lakshadweep,0.2,7.3,8.3,35,162.5,200.6,164.2,267.7,92.4,69.2,77.9,320.6,1405.9,7.5,205.8,724.9,467.7
1966,Lakshadweep,21.3,0.2,6.2,4.4,34.9,376.7,421.9,158.9,225.4,266.1,158,67.5,1741.5,21.5,45.5,1182.9,491.6
1967,Lakshadweep,7.8,2.7,0,0,148.3,301.2,380.1,196.9,100.4,92.3,24.5,33.1,1287.3,10.5,148.3,978.6,149.9
1968,Lakshadweep,8.7,1.8,30.6,45.4,16.6,393.8,439.8,84.1,202.8,46.5,31.4,42.9,1344.4,10.5,92.6,1120.5,120.8
1969,Lakshadweep,30,4.1,0,63.3,237.9,125.6,149,225.3,95.9,162.3,157.5,165.2,1416.1,34.1,301.2,595.8,485
1970,Lakshadweep,18.7,6.3,13.8,32.3,164.9,322.1,484.4,284.6,228.9,126.9,81.2,18.9,1783,25,211,1320,227
1971,Lakshadweep,3.8,12.3,5.4,25,271.6,333.9,308.1,349.6,281.8,113.8,63,133.1,1901.4,16.1,302,1273.4,309.9
1972,Lakshadweep,0,1.1,0,11.4,81.3,349.2,197.3,172.5,152,219.2,94.2,9.4,1287.6,1.1,92.7,871,322.8
1973,Lakshadweep,0.3,5.8,0,40.7,96.3,260.5,299.9,437.9,57.3,150.9,108.1,99.7,1557.4,6.1,137,1055.6,358.7
1974,Lakshadweep,0,16.8,0.8,35.4,171.9,277.6,491.6,165.7,258.3,65.9,20.1,7.2,1511.3,16.8,208.1,1193.2,93.2
1975,Lakshadweep,8.6,0.7,18.4,92.9,282.2,250,278,348.4,299.5,111.6,155.2,45,1890.5,9.3,393.5,1175.9,311.8
1976,Lakshadweep,10.3,0,1.1,72.9,85.3,260.7,329.2,344.1,36.6,189.2,161.6,11.1,1502.1,10.3,159.3,970.6,361.9
1977,Lakshadweep,1.4,38.2,16.5,27.6,256.8,460.7,337.4,125.3,90.7,248.4,243.8,1.4,1848.2,39.6,300.9,1014.1,493.6
1978,Lakshadweep,0.2,6.5,0.6,44.1,309.5,568.3,224.7,303.5,105.1,92.1,294.2,18.6,1967.4,6.7,354.2,1201.6,404.9
1979,Lakshadweep,14.9,1.3,10,15.4,23.1,367.1,451.3,127.3,221.1,173.6,378.1,42.2,1825.4,16.2,48.5,1166.8,593.9
1980,Lakshadweep,7.5,10.5,13.1,19.7,123.5,233.6,185,217.6,67,122.1,98.5,113.6,1211.7,18,156.3,703.2,334.2
1981,Lakshadweep,1.8,20.4,0.6,22.3,208.6,421.5,168.9,213.3,281.4,167.4,76.6,34.6,1617.4,22.2,231.5,1085.1,278.6
1982,Lakshadweep,1.6,0.4,0.6,0.4,106.8,321.6,254.5,326.1,121.3,70.7,178.6,9.4,1392,2,107.8,1023.5,258.7
1983,Lakshadweep,1.4,0,0,0.2,113.5,215,277,375,219.8,77.6,71.2,52.5,1403.2,1.4,113.7,1086.8,201.3
1984,Lakshadweep,71.1,114.9,96.7,65.1,46.7,318.9,271.5,124.9,83.1,218.3,155.4,25,1591.6,186,208.5,798.4,398.7
1985,Lakshadweep,6.4,0,27.4,11.1,182.9,326.1,152.1,203,206.4,42,62.3,83.7,1303.4,6.4,221.4,887.6,188
1986,Lakshadweep,12.4,3,25.3,6.5,102.1,399.2,193.3,218.3,179.9,128.6,147.8,49.5,1465.9,15.4,133.9,990.7,325.9
1987,Lakshadweep,1.9,1.5,0,16.5,72.9,389.3,29.4,284.7,183.4,133,47.7,128.3,1288.6,3.4,89.4,886.8,309
1988,Lakshadweep,0.8,7,0.9,54,142.8,352.5,293.6,240.9,240.9,28.9,82.7,5.8,1450.8,7.8,197.7,1127.9,117.4
1989,Lakshadweep,20.6,0,4.4,93,106.7,473.5,387.5,167.3,216.3,172.4,69.2,3.5,1714.4,20.6,204.1,1244.6,245.1
1990,Lakshadweep,38.9,0.3,21.4,0,191.1,181.6,334,123.5,98.9,160.4,155.4,5,1310.5,39.2,212.5,738,320.8
1991,Lakshadweep,12.3,0,18.7,12.3,68,604.3,241.1,253.8,45.7,222.7,75.5,28.6,1583,12.3,99,1144.9,326.8
1992,Lakshadweep,4,0.1,0,3.3,128.1,346.6,363,373.3,95.1,120.4,69.3,31.7,1534.9,4.1,131.4,1178,221.4
1993,Lakshadweep,1.2,0.5,0.2,0.2,56.5,276.1,346.7,154.4,161,131.6,280.5,40.8,1449.7,1.7,56.9,938.2,452.9
1994,Lakshadweep,12.4,66.6,34.8,88.8,78.9,361.1,240.2,219.7,76.2,213.5,153.7,1.2,1547.1,79,202.5,897.2,368.4
1995,Lakshadweep,131.3,18.5,0.3,315.4,179.6,286,486.7,384.8,71.8,81,72.2,3.3,2030.9,149.8,495.3,1229.3,156.5
1996,Lakshadweep,44.7,1.1,1.6,17.4,50,427.1,335.3,197.3,230.4,109,60.5,131.6,1606,45.8,69,1190.1,301.1
1997,Lakshadweep,2.2,0.1,4.9,33.8,62.3,307,459.6,216.8,144,213.5,200.8,119.7,1764.7,2.3,101,1127.4,534
1998,Lakshadweep,52,0,1.8,40.3,68.2,382,388.8,196.7,274.7,184.8,144.1,253.5,1986.9,52,110.3,1242.2,582.4
1999,Lakshadweep,47.8,2.5,18.3,20.6,416.7,279.6,459.4,133.8,73.4,305,51.2,49,1857.3,50.3,455.6,946.2,405.2
2000,Lakshadweep,83.3,18.9,3.4,47.9,204.6,225.4,95.5,319.9,164.5,141.4,56.3,11,1372.1,102.2,255.9,805.3,208.7
2001,Lakshadweep,4.4,20.4,0,104.6,187.3,283.9,198.9,144.3,213.5,105.2,101.5,16.6,1380.6,24.8,291.9,840.6,223.3
2002,Lakshadweep,10.8,16.8,7.2,23.4,189.8,261.8,81.3,143.9,50,178.2,52.9,17.4,1033.5,27.6,220.4,537,248.5
2003,Lakshadweep,11.8,18.2,28.5,18.1,109.6,364.5,400.6,92.1,84.3,191.6,206.1,7.5,1532.9,30,156.2,941.5,405.2
2004,Lakshadweep,7.2,1.5,1.9,7.7,330.2,251.2,280.8,169.5,200,193.4,107.6,2.2,1553.2,8.7,339.8,901.5,303.2
2005,Lakshadweep,17.6,11.1,0,37,92.8,248.5,378.9,102.4,278,164.2,218.3,26.6,1575.4,28.7,129.8,1007.8,409.1
2006,Lakshadweep,20.1,0,33,0.3,327.9,286.9,172.3,150.7,318.5,119.1,158.9,10.9,1598.6,20.1,361.2,928.4,288.9
2007,Lakshadweep,2.5,4.2,0.2,22.2,166.2,573.4,427.4,294.7,457.5,256.1,47.6,109.6,2361.6,6.7,188.6,1753,413.3
2008,Lakshadweep,5.5,19.8,120.7,15.8,180.4,254.6,363.9,206.6,108.9,252.9,67.6,130.1,1726.8,25.3,316.9,934,450.6
2009,Lakshadweep,4.7,1.5,0.1,18.1,162.1,401.2,266.4,185,145.1,87.4,166.2,132.3,1570.1,6.2,180.3,997.7,385.9
2010,Lakshadweep,18.8,0,1.2,35.6,79,318.9,336.7,335.1,161.5,155.4,201.5,81.5,1725.2,18.8,115.8,1152.2,438.4
2011,Lakshadweep,5.1,2.8,3.1,85.9,107.2,153.6,350.2,254,255.2,117.4,184.3,14.9,1533.7,7.9,196.2,1013,316.6
2012,Lakshadweep,19.2,0.1,1.6,76.8,21.2,327,231.5,381.2,179.8,145.9,12.4,8.8,1405.5,19.3,99.6,1119.5,167.1
2013,Lakshadweep,26.2,34.4,37.5,5.3,88.3,426.2,296.4,154.4,180,72.8,78.1,26.7,1426.3,60.6,131.1,1057,177.6
2014,Lakshadweep,53.2,16.1,4.4,14.9,57.4,244.1,116.1,466.1,132.2,169.2,59,62.3,1395,69.3,76.7,958.5,290.5
2015,Lakshadweep,2.2,0.5,3.7,87.1,133.1,296.6,257.5,146.4,160.4,165.4,231,159,1642.9,2.7,223.9,860.9,555.4
2016,Lakshadweep,59.6,12.1,3.2,2.6,77.4,321.1,262.6,86.2,75.6,58.6,32,74.7,1065.7,71.7,83.2,745.4,165.4
2017,Lakshadweep,21.3,0.9,100.2,1.8,145.7,521.9,164.2,206.2,216,137.1,63.5,160.1,1738.9,22.2,247.8,1108.3,360.7
1901,Madhya Pradesh,74.3,43.9,21.5,13.5,8.3,102.2,596.4,939.1,237.8,11.5,0,2.4,2050.9,118.1,43.400000000000006,1875.6,13.8
1902,Madhya Pradesh,37,17.3,0,5.6,8.600000000000001,63.9,813.8,406.4,430.7,54.9,37.6,20.299999999999997,1895.9,54.3,14.2,1714.7,112.7
1903,Madhya Pradesh,10.899999999999999,2.9,0.3,0.9,59.8,118.1,566.3,627.8,507.59999999999997,233,0,0,2127.7,13.8,61,1819.8,233
1904,Madhya Pradesh,5.2,30.8,63,0,20.6,206.5,716.2,535.2,261.5,48.099999999999994,5,26.5,1918.6,36,83.6,1719.3000000000002,79.7
1905,Madhya Pradesh,19.4,12.4,15.4,13.100000000000001,13.2,70.5,618.7,380.9,434.4,3.1999999999999997,0,1.6,1582.5,31.799999999999997,41.6,1504.5,4.7
1906,Madhya Pradesh,12.1,39.3,37.6,0,4,406.1,788.7,388.7,683.2,8.6,1.9,9.700000000000001,2379.9,51.4,41.699999999999996,2266.6,20.200000000000003
1907,Madhya Pradesh,12.2,128.2,5.1,42.8,7.8999999999999995,139.60000000000002,424.1,840.8,37.400000000000006,0,20.8,1.2,1660,140.4,55.8,1441.8000000000002,22
1908,Madhya Pradesh,30.299999999999997,17.6,19.5,2.9,5.3,222.2,897.7,870.5,176,13.5,0.8,6.8,2263.2,47.900000000000006,27.7,2166.4,21.099999999999998
1909,Madhya Pradesh,23.3,18.400000000000002,5.7,97.2,16,358.5,633.2,498.4,230.39999999999998,1.1,0,70.1,1952.2,41.7,118.9,1720.4,71.2
1910,Madhya Pradesh,11.5,0.1,0.5,2.9,10.299999999999999,392.3,409.1,651.4,502.1,99.3,102.1,0,2181.7,11.6,13.700000000000001,1955,201.39999999999998
1911,Madhya Pradesh,38.9,1.3,19.4,0.8,4.7,316.9,287,516.8,518.7,74.7,94.2,0,1873.6,40.2,24.900000000000002,1639.5,168.9
1912,Madhya Pradesh,10.5,54.4,0.30000000000000004,5.2,5.300000000000001,83.6,782.7,637.9,260.6,3,109.80000000000001,4.4,1957.8999999999999,64.8,10.8,1765,117.2
1913,Madhya Pradesh,1.3,66,25.7,0,52.4,370.29999999999995,552.5,501.70000000000005,121.6,3.1,1,31.1,1726.9,67.39999999999999,78.1,1546.2,35.3
1914,Madhya Pradesh,0.1,11.9,63.5,23.9,34.7,235.3,897.1,495,293.1,14.7,12.6,4.5,2086.3999999999996,12,122.1,1920.6000000000001,31.799999999999997
1915,Madhya Pradesh,25.7,61.2,86.9,13.700000000000001,17,302.4,557.4,631.4,249.79999999999998,191.7,10.5,7.3999999999999995,2155,86.9,117.6,1741.1,209.5
1916,Madhya Pradesh,0,35.2,0.1,2.4000000000000004,24,506,493,927.0999999999999,406.6,254.2,50.7,0,2699.4,35.2,26.4,2332.8,304.9
1917,Madhya Pradesh,14.100000000000001,62.4,29.9,8.3,125.9,408.1,713,804.3,621.3,157.4,0,3.9,2948.6,76.4,164.1,2546.7,161.3
1918,Madhya Pradesh,1.5,8,4.3,1.3,39.3,333.6,316.1,534.8,153.5,0.7,32.9,14,1439.9,9.5,44.8,1337.9,47.599999999999994
1919,Madhya Pradesh,164.5,31.4,11.200000000000001,13.399999999999999,34.1,322.8,810,1258.1,175.5,121.3,32.8,5.1,2979.8999999999996,195.8,58.6,2566.3999999999996,159.10000000000002
1920,Madhya Pradesh,66.3,2.7,19.1,6.5,36.099999999999994,213.89999999999998,729.7,384.20000000000005,155.8,0.1,0,0,1614.3,69,61.7,1483.6,0.1
1921,Madhya Pradesh,53,3.6999999999999997,0,0.5,0,353.4,442.4,594.8,490.5,2.2,0,0,1940.8,56.8,0.6,1881.1,2.2
1922,Madhya Pradesh,70.6,9.6,0.5,2.5,7.6000000000000005,263.4,770.9,468.7,474.5,8.299999999999999,67.7,11.7,2156.2,80.2,10.8,1977.6,87.69999999999999
1923,Madhya Pradesh,6,12.5,28.4,4.7,5.8,39.3,1028.3,972.5,367,32.2,1.4,16.799999999999997,2514.9,18.6,38.9,2407,50.4
1924,Madhya Pradesh,41.3,12.4,7.7,1.7000000000000002,3.4,77.8,893.8,713.3,453,98.1,14,30,2346.6,53.8,12.899999999999999,2138.1,142
1925,Madhya Pradesh,0.1,0,0,0.2,64.7,357.6,835.1,434.20000000000005,241.8,12.899999999999999,99.3,1.9000000000000001,2048,0.1,65,1868.8,114.1
1926,Madhya Pradesh,37.1,3.9000000000000004,58,43.5,39.5,48.2,595.5,980.4,682.2,148.70000000000002,1.4,2.4,2640.6,41,141,2306.3999999999996,152.5
1927,Madhya Pradesh,8.4,20.4,50.9,2.3,4.1,178.39999999999998,764.5999999999999,600.5,167.7,103.89999999999999,178.9,28.6,2108.8,28.8,57.4,1711.3,311.4
1928,Madhya Pradesh,16.099999999999998,84.69999999999999,11.899999999999999,1,5,228.29999999999998,870,402.6,112.6,163.5,1.6,105.4,2002.5,100.8,17.9,1613.4,270.4
1929,Madhya Pradesh,36.3,26.2,0.30000000000000004,16,2.4,202.8,812.9,614.7,191.8,19.3,0,53.4,1976.1000000000001,62.5,18.7,1822.2,72.69999999999999
1930,Madhya Pradesh,5.1,3.8,3,33.5,12,230.4,990.7,451.9,276.3,70.8,5.8,8.8,2092.1000000000004,8.8,48.599999999999994,1949.3,85.4
1931,Madhya Pradesh,15.899999999999999,30.9,9.4,3.4,4.7,117.8,576.1,882.2,516.9,283.7,26.6,6.300000000000001,2473.8,46.7,17.4,2093,316.7
1932,Madhya Pradesh,0,25.4,26.6,5,8.1,162.1,1001.5,326.3,532.6,47.3,4.5,0,2139.2,25.4,39.6,2022.4,51.8
1933,Madhya Pradesh,8.6,49,20.900000000000002,41.2,110.9,340.3,637.5,672.9000000000001,582.5,84.1,20.3,11.8,2580,57.6,173,2233.3,116.2
1934,Madhya Pradesh,22.9,0.1,16.5,3,0.30000000000000004,353.2,558.3,862.8,735.6,22.799999999999997,45.7,16.9,2638.2,23,19.8,2509.9,85.6
1935,Madhya Pradesh,26.8,20.099999999999998,0.2,26.900000000000002,1.2,182.6,985.5999999999999,450.1,414.2,20.2,0.8,22.4,2151,46.900000000000006,28.200000000000003,2032.5,43.4
1936,Madhya Pradesh,12.799999999999999,37.6,39.5,12.9,26.9,425.5,574.7,626.8,415.4,49.6,175.89999999999998,7.699999999999999,2405.4,50.5,79.3,2042.3,233.2
1937,Madhya Pradesh,1.1,71.8,17.299999999999997,51.6,6,364.5,907.5,508.6,381.3,130,4.6,7.300000000000001,2451.4,72.89999999999999,74.8,2161.9,141.9
1938,Madhya Pradesh,61,11.5,7.9,3.4000000000000004,46.8,607,748.9,528.1,196.79999999999998,163.3,0,0,2375,72.5,58.2,2080.9,163.39999999999998
1939,Madhya Pradesh,42.6,20.2,28.2,6.6000000000000005,0.3,250.7,780.8,706.3,300.4,11.8,1.4,0.6,2149.7,62.800000000000004,35.2,2038,13.7
1940,Madhya Pradesh,13.8,20.4,22.1,8.4,21.4,274.6,841.0999999999999,778.7,145.8,75.8,26.400000000000002,29.2,2257.5,34.2,52,2040.1,131.3
1941,Madhya Pradesh,49.2,55.6,20.7,3.8,10.2,177.5,385.79999999999995,650.3,204.2,10.1,0,0.1,1567.5,104.80000000000001,34.7,1417.9,10.200000000000001
1942,Madhya Pradesh,69,108.1,10.899999999999999,6.5,2.1,289.1,1163.6,667.8,360,1.3,0,31.6,2710.1000000000004,177.1,19.6,2480.3999999999996,32.9
1943,Madhya Pradesh,140.7,1.8,0,14.2,53.7,241.5,781.6,565.6,425.5,119.3,1.4000000000000001,0,2345.3,142.5,68,2014.1,120.7
1944,Madhya Pradesh,45.400000000000006,83.2,121.4,13.299999999999999,2.6,191,1034.3000000000002,899,269.2,99.7,7.4,8.3,2774.7,128.6,137.2,2393.6,115.3
1945,Madhya Pradesh,64.7,0.7,0,33.6,9.2,415.20000000000005,787.4,523,467.29999999999995,30.200000000000003,0,2.2,2333.7,65.4,42.9,2192.9,32.5
1946,Madhya Pradesh,0,34.1,1,16.5,11.3,602.8,717.7,868.3,196,38.5,226.8,32.2,2745,34.1,28.7,2384.8,297.5
1947,Madhya Pradesh,68.8,30.4,21.900000000000002,5.5,4.3,139.5,807.4,789.2,551.7,43.3,3.8,18.5,2484.2,99.3,31.5,2287.7,65.6
1948,Madhya Pradesh,102.69999999999999,17.7,4.3,4.1000000000000005,1.9,334.2,738.3,740.9,528.6,40.400000000000006,164.9,0.2,2678,120.39999999999999,10.2,2341.9,205.5
1949,Madhya Pradesh,2,18.8,3.1999999999999997,1.8,44,204.7,677.9,439.9,630.9,175.5,2.4,0.4,2201.7,20.799999999999997,49.099999999999994,1953.4,178.3
1950,Madhya Pradesh,17.5,29.7,50.9,2,8.3,110.1,872.4000000000001,591,344.7,16,0.2,39.5,2082.4,47.199999999999996,61.400000000000006,1918.3,55.7
1951,Madhya Pradesh,24.6,21.4,50.5,17,13.4,226.5,517.5,587.9,307.1,54.8,4.4,0,1825.3,46,80.9,1639.1000000000001,59.099999999999994
1952,Madhya Pradesh,1.8,36,10.5,4.6,3.4000000000000004,360,754.5,639.7,152.89999999999998,9.700000000000001,0,11.6,1984.4,37.6,18.5,1907,21.3
1953,Madhya Pradesh,35.5,4.8,0,9.1,3.1,115.3,681.3,652.2,267.9,30.8,0,0.7,1800.8000000000002,40.400000000000006,12.2,1716.6999999999998,31.5
1954,Madhya Pradesh,28.900000000000002,24.1,11.8,3.2,1.1,151.1,648.4,472.7,812.1,22.7,0.3,0.6,2177.4,53.099999999999994,16.2,2084.3999999999996,23.700000000000003
1955,Madhya Pradesh,97.7,5.2,2.2,4.5,4.9,425.20000000000005,357.9,868.2,545.2,259.1,0,0,2570.2,102.9,11.7,2196.5,259.1
1956,Madhya Pradesh,25,6.3,10.1,2.1,75,300,936.6999999999999,650.7,312.7,169.1,66.5,27.5,2581.6,31.3,87.1,2200.1,263.1
1957,Madhya Pradesh,33.3,1,94.19999999999999,23.5,10.2,150.6,572.9,699.4,226.3,19.1,1.2,2.1,1833.6999999999998,34.4,127.9,1649.1,22.299999999999997
1958,Madhya Pradesh,11.3,18.3,15.6,9.2,2.2,148.2,819.4000000000001,557.6,507.70000000000005,167.3,13.6,0.7999999999999999,2271.3,29.6,27.1,2033,181.6
1959,Madhya Pradesh,72.1,3.9,1.5999999999999999,12.1,52.2,160.2,833.3,723.1,485.5,132.4,7.3,0,2483.8,76,65.9,2202.2,139.8
1960,Madhya Pradesh,72,0.1,37,7.6,7.8999999999999995,245.6,579.5,888.2,136.3,158,0,2.3,2134.3,72.1,52.400000000000006,1849.5,160.2
1961,Madhya Pradesh,51,13,4.3,6.5,15.3,206.9,810.7,781.7,917.8,194.2,15.8,15,3032.5,64.19999999999999,26.2,2717.2,225
1962,Madhya Pradesh,19.5,28,29.3,17.9,13.6,71.9,635.9,532.7,542.8,1.5,9.899999999999999,71.3,1974.3000000000002,47.6,60.7,1783.4,82.7
1963,Madhya Pradesh,13.3,19,8.2,19.2,14.6,218.9,509.4,727.5,399,54.7,38.300000000000004,3.4000000000000004,2025.5,32.3,41.9,1854.8999999999999,96.3
1964,Madhya Pradesh,0.2,8.1,4.4,1.3,10.2,243.2,638.9000000000001,745.2,389.3,24.1,0.9,1.4,2067.4,8.4,16,2016.6,26.5
